observation_id,access,user_id,coral_id,location_id,resource_id,trait_id,standard_id,methodology_id,value,value_type,precision,precision_type,precision_upper,replicates,notes
24,1,1,1395,379,362,143,9,6,6.75,median,5,range,8.5,,
25,1,1,1395,379,362,60,60,15,7.1,mean,1.8,standard_error,,5,
25,1,1,1395,379,362,143,9,6,6.75,median,5,range,8.5,,
26,1,1,1395,381,362,60,60,15,7.2,mean,3.3,standard_error,,5,
26,1,1,1395,381,362,143,9,6,6.75,median,5,range,8.5,,
27,1,1,1395,381,362,60,60,15,7.1,mean,2.9,standard_error,,5,
27,1,1,1395,381,362,143,9,6,6.75,median,5,range,8.5,,
28,1,1,1395,381,362,60,60,15,7.5,mean,3.2,standard_error,,5,
28,1,1,1395,381,362,143,9,6,6.75,median,5,range,8.5,,
29,1,1,1395,382,362,60,60,15,7.6,mean,2.2,standard_error,,5,
29,1,1,1395,382,362,143,9,6,6.75,median,5,range,8.5,,
30,1,1,1395,382,362,60,60,15,7.8,mean,2,standard_error,,5,
30,1,1,1395,382,362,143,9,6,6.75,median,5,range,8.5,,
31,1,1,1395,382,362,60,60,15,7.5,mean,2.8,standard_error,,5,
31,1,1,1395,382,362,143,9,6,6.75,median,5,range,8.5,,
32,1,1,975,380,362,60,60,15,6.7,mean,0.9,standard_error,,5,
32,1,1,975,380,362,143,9,6,6.75,median,5,range,8.5,,
33,1,1,975,380,362,60,60,15,6.4,mean,1.1,standard_error,,5,
33,1,1,975,380,362,143,9,6,6.75,median,5,range,8.5,,
34,1,1,975,380,362,60,60,15,6.1,mean,1.5,standard_error,,5,
34,1,1,975,380,362,143,9,6,6.75,median,5,range,8.5,,
35,1,1,975,381,362,60,60,15,6.7,mean,1.7,standard_error,,5,
35,1,1,975,381,362,143,9,6,6.75,median,5,range,8.5,,
36,1,1,975,381,362,60,60,15,6,mean,1.6,standard_error,,5,
36,1,1,975,381,362,143,9,6,6.75,median,5,range,8.5,,
37,1,1,975,381,362,60,60,15,6.8,mean,1.5,standard_error,,5,
37,1,1,975,381,362,143,9,6,6.75,median,5,range,8.5,,
38,1,1,973,369,362,60,60,15,7.7,mean,0.8,standard_error,,5,
38,1,1,973,369,362,143,9,6,6.75,median,5,range,8.5,,
39,1,1,973,369,362,60,60,15,8.5,mean,1.1,standard_error,,5,
39,1,1,973,369,362,143,9,6,6.75,median,5,range,8.5,,
40,1,1,973,369,362,60,60,15,7.9,mean,1.5,standard_error,,5,
40,1,1,973,369,362,143,9,6,6.75,median,5,range,8.5,,
41,1,1,973,380,362,60,60,15,7.9,mean,0.8,standard_error,,5,
41,1,1,973,380,362,143,9,6,6.75,median,5,range,8.5,,
42,1,1,973,380,362,60,60,15,7.8,mean,1,standard_error,,5,
42,1,1,973,380,362,143,9,6,6.75,median,5,range,8.5,,
43,1,1,973,380,362,60,60,15,7.7,mean,1.5,standard_error,,5,
43,1,1,973,380,362,143,9,6,6.75,median,5,range,8.5,,
44,1,1,973,379,362,60,60,15,7.5,mean,2,standard_error,,5,
44,1,1,973,379,362,143,9,6,6.75,median,5,range,8.5,,
45,1,1,973,379,362,60,60,15,7.3,mean,1.8,standard_error,,5,
45,1,1,973,379,362,143,9,6,6.75,median,5,range,8.5,,
46,1,1,973,379,362,60,60,15,7.2,mean,1.6,standard_error,,5,
46,1,1,973,379,362,143,9,6,6.75,median,5,range,8.5,,
47,1,1,973,381,362,60,60,15,8.9,mean,1.1,standard_error,,5,
47,1,1,973,381,362,143,9,6,6.75,median,5,range,8.5,,
48,1,1,973,381,362,60,60,15,8.4,mean,1.4,standard_error,,5,
48,1,1,973,381,362,143,9,6,6.75,median,5,range,8.5,,
49,1,1,973,381,362,60,60,15,8.1,mean,1.7,standard_error,,5,
49,1,1,973,381,362,143,9,6,6.75,median,5,range,8.5,,
50,1,1,973,382,362,60,60,15,7.9,mean,1.5,standard_error,,5,
50,1,1,973,382,362,143,9,6,6.75,median,5,range,8.5,,
51,1,1,973,382,362,60,60,15,7.5,mean,1.8,standard_error,,5,
51,1,1,973,382,362,143,9,6,6.75,median,5,range,8.5,,
52,1,1,973,382,362,60,60,15,7.5,mean,1.5,standard_error,,5,
52,1,1,973,382,362,143,9,6,6.75,median,5,range,8.5,,
53,1,1,979,369,362,60,60,15,5.2,mean,1.8,standard_error,,5,
53,1,1,979,369,362,143,9,6,6.75,median,5,range,8.5,,
54,1,1,979,369,362,60,60,15,5.1,mean,1.7,standard_error,,5,
54,1,1,979,369,362,143,9,6,6.75,median,5,range,8.5,,
55,1,1,979,369,362,60,60,15,5.5,mean,1.5,standard_error,,5,
55,1,1,979,369,362,143,9,6,6.75,median,5,range,8.5,,
56,1,1,979,381,362,60,60,15,6,mean,0.4,standard_error,,5,
56,1,1,979,381,362,143,9,6,6.75,median,5,range,8.5,,
57,1,1,979,381,362,60,60,15,6.1,mean,0.5,standard_error,,5,
57,1,1,979,381,362,143,9,6,6.75,median,5,range,8.5,,
58,1,1,979,381,362,60,60,15,5.9,mean,0.6,standard_error,,5,
58,1,1,979,381,362,143,9,6,6.75,median,5,range,8.5,,
59,1,1,1269,369,362,60,60,15,4.4,mean,0.8,standard_error,,5,
59,1,1,1269,369,362,143,9,6,6.75,median,5,range,8.5,,
60,1,1,1269,369,362,60,60,15,4.5,mean,0.9,standard_error,,5,
60,1,1,1269,369,362,143,9,6,6.75,median,5,range,8.5,,
61,1,1,1269,369,362,60,60,15,4.1,mean,0.9,standard_error,,5,
61,1,1,1269,369,362,143,9,6,6.75,median,5,range,8.5,,
62,1,1,1269,380,362,60,60,15,3.5,mean,1.5,standard_error,,5,
62,1,1,1269,380,362,143,9,6,6.75,median,5,range,8.5,,
63,1,1,1269,380,362,60,60,15,3.4,mean,1.6,standard_error,,5,
63,1,1,1269,380,362,143,9,6,6.75,median,5,range,8.5,,
64,1,1,1269,380,362,60,60,15,3.2,mean,1.7,standard_error,,5,
64,1,1,1269,380,362,143,9,6,6.75,median,5,range,8.5,,
65,1,1,1269,379,362,60,60,15,3.8,mean,1.4,standard_error,,5,
65,1,1,1269,379,362,143,9,6,6.75,median,5,range,8.5,,
66,1,1,1269,379,362,60,60,15,3.6,mean,1.3,standard_error,,5,
66,1,1,1269,379,362,143,9,6,6.75,median,5,range,8.5,,
67,1,1,1269,379,362,60,60,15,3.3,mean,1.7,standard_error,,5,
67,1,1,1269,379,362,143,9,6,6.75,median,5,range,8.5,,
68,1,1,1269,381,362,60,60,15,5.4,mean,2,standard_error,,5,
68,1,1,1269,381,362,143,9,6,6.75,median,5,range,8.5,,
69,1,1,1269,381,362,60,60,15,5.6,mean,2.1,standard_error,,5,
69,1,1,1269,381,362,143,9,6,6.75,median,5,range,8.5,,
70,1,1,1269,381,362,60,60,15,5.1,mean,1.7,standard_error,,5,
70,1,1,1269,381,362,143,9,6,6.75,median,5,range,8.5,,
71,1,1,1269,382,362,60,60,15,3.8,mean,1.5,standard_error,,5,
71,1,1,1269,382,362,143,9,6,6.75,median,5,range,8.5,,
72,1,1,1269,382,362,60,60,15,4,mean,1.6,standard_error,,5,
72,1,1,1269,382,362,143,9,6,6.75,median,5,range,8.5,,
73,1,1,1269,382,362,60,60,15,3.4,mean,1.5,standard_error,,5,
73,1,1,1269,382,362,143,9,6,6.75,median,5,range,8.5,,
74,1,1,964,369,362,60,60,15,1.2,mean,1.1,standard_error,,5,
74,1,1,964,369,362,143,9,6,6.75,median,5,range,8.5,,
75,1,1,964,369,362,60,60,15,1.1,mean,0.8,standard_error,,5,
75,1,1,964,369,362,143,9,6,6.75,median,5,range,8.5,,
76,1,1,964,369,362,60,60,15,1,mean,0.9,standard_error,,5,
76,1,1,964,369,362,143,9,6,6.75,median,5,range,8.5,,
77,1,1,964,380,362,60,60,15,1.3,mean,0.9,standard_error,,5,
77,1,1,964,380,362,143,9,6,6.75,median,5,range,8.5,,
78,1,1,964,380,362,60,60,15,1.1,mean,0.9,standard_error,,5,
78,1,1,964,380,362,143,9,6,6.75,median,5,range,8.5,,
79,1,1,964,380,362,60,60,15,1,mean,0.8,standard_error,,5,
79,1,1,964,380,362,143,9,6,6.75,median,5,range,8.5,,
80,1,1,964,379,362,60,60,15,1,mean,1.2,standard_error,,5,
80,1,1,964,379,362,143,9,6,6.75,median,5,range,8.5,,
81,1,1,964,379,362,60,60,15,1.1,mean,1.1,standard_error,,5,
81,1,1,964,379,362,143,9,6,6.75,median,5,range,8.5,,
82,1,1,964,379,362,60,60,15,1,mean,1.2,standard_error,,5,
82,1,1,964,379,362,143,9,6,6.75,median,5,range,8.5,,
83,1,1,964,381,362,60,60,15,1.5,mean,1.2,standard_error,,5,
83,1,1,964,381,362,143,9,6,6.75,median,5,range,8.5,,
84,1,1,964,381,362,60,60,15,1.6,mean,0.7,standard_error,,5,
84,1,1,964,381,362,143,9,6,6.75,median,5,range,8.5,,
85,1,1,964,381,362,60,60,15,1.1,mean,0.8,standard_error,,5,
85,1,1,964,381,362,143,9,6,6.75,median,5,range,8.5,,
86,1,1,964,382,362,60,60,15,1.1,mean,1.2,standard_error,,5,
86,1,1,964,382,362,143,9,6,6.75,median,5,range,8.5,,
87,1,1,964,382,362,60,60,15,1.1,mean,0.9,standard_error,,5,
87,1,1,964,382,362,143,9,6,6.75,median,5,range,8.5,,
88,1,1,964,382,362,60,60,15,1,mean,1.1,standard_error,,5,
88,1,1,964,382,362,143,9,6,6.75,median,5,range,8.5,,
89,1,1,458,369,362,60,60,15,6.1,mean,2.8,standard_error,,5,
89,1,1,458,369,362,143,9,6,6.75,median,5,range,8.5,,
90,1,1,458,369,362,60,60,15,6.4,mean,2.2,standard_error,,5,
90,1,1,458,369,362,143,9,6,6.75,median,5,range,8.5,,
91,1,1,458,369,362,60,60,15,6.1,mean,3.2,standard_error,,5,
91,1,1,458,369,362,143,9,6,6.75,median,5,range,8.5,,
92,1,1,458,380,362,60,60,15,6.4,mean,2.8,standard_error,,5,
92,1,1,458,380,362,143,9,6,6.75,median,5,range,8.5,,
93,1,1,458,380,362,60,60,15,5.6,mean,3.2,standard_error,,5,
93,1,1,458,380,362,143,9,6,6.75,median,5,range,8.5,,
94,1,1,458,380,362,60,60,15,6.1,mean,4.1,standard_error,,5,
94,1,1,458,380,362,143,9,6,6.75,median,5,range,8.5,,
95,1,1,458,379,362,60,60,15,6.5,mean,2.8,standard_error,,5,
95,1,1,458,379,362,143,9,6,6.75,median,5,range,8.5,,
96,1,1,458,379,362,60,60,15,6.2,mean,3.2,standard_error,,5,
96,1,1,458,379,362,143,9,6,6.75,median,5,range,8.5,,
97,1,1,458,379,362,60,60,15,6.3,mean,4.1,standard_error,,5,
97,1,1,458,379,362,143,9,6,6.75,median,5,range,8.5,,
98,1,1,458,381,362,60,60,15,7.1,mean,3.9,standard_error,,5,
98,1,1,458,381,362,143,9,6,6.75,median,5,range,8.5,,
99,1,1,458,381,362,60,60,15,6.6,mean,4.2,standard_error,,5,
99,1,1,458,381,362,143,9,6,6.75,median,5,range,8.5,,
100,1,1,458,381,362,60,60,15,6.5,mean,4.1,standard_error,,5,
100,1,1,458,381,362,143,9,6,6.75,median,5,range,8.5,,
101,1,1,458,382,362,60,60,15,6.5,mean,2.7,standard_error,,5,
101,1,1,458,382,362,143,9,6,6.75,median,5,range,8.5,,
102,1,1,458,382,362,60,60,15,6.6,mean,2.6,standard_error,,5,
102,1,1,458,382,362,143,9,6,6.75,median,5,range,8.5,,
103,1,1,458,382,362,60,60,15,6.1,mean,2.5,standard_error,,5,
103,1,1,458,382,362,143,9,6,6.75,median,5,range,8.5,,
104,1,1,589,369,362,60,60,15,4.2,mean,0.9,standard_error,,5,
104,1,1,589,369,362,143,9,6,6.75,median,5,range,8.5,,
105,1,1,589,369,362,60,60,15,4.4,mean,1.1,standard_error,,5,
105,1,1,589,369,362,143,9,6,6.75,median,5,range,8.5,,
106,1,1,589,369,362,60,60,15,4,mean,0.9,standard_error,,5,
106,1,1,589,369,362,143,9,6,6.75,median,5,range,8.5,,
107,1,1,589,380,362,60,60,15,4.2,mean,1.9,standard_error,,5,
107,1,1,589,380,362,143,9,6,6.75,median,5,range,8.5,,
108,1,1,589,380,362,60,60,15,4.1,mean,1.5,standard_error,,5,
108,1,1,589,380,362,143,9,6,6.75,median,5,range,8.5,,
109,1,1,589,380,362,60,60,15,4.2,mean,0.9,standard_error,,5,
109,1,1,589,380,362,143,9,6,6.75,median,5,range,8.5,,
110,1,1,589,379,362,60,60,15,4,mean,1.8,standard_error,,5,
110,1,1,589,379,362,143,9,6,6.75,median,5,range,8.5,,
111,1,1,589,379,362,60,60,15,4.3,mean,1.5,standard_error,,5,
111,1,1,589,379,362,143,9,6,6.75,median,5,range,8.5,,
112,1,1,589,379,362,60,60,15,4.6,mean,1.9,standard_error,,5,
112,1,1,589,379,362,143,9,6,6.75,median,5,range,8.5,,
113,1,1,589,381,362,60,60,15,4.8,mean,2.1,standard_error,,5,
113,1,1,589,381,362,143,9,6,6.75,median,5,range,8.5,,
114,1,1,589,381,362,60,60,15,4.7,mean,2.1,standard_error,,5,
114,1,1,589,381,362,143,9,6,6.75,median,5,range,8.5,,
115,1,1,589,381,362,60,60,15,4.8,mean,1.9,standard_error,,5,
115,1,1,589,381,362,143,9,6,6.75,median,5,range,8.5,,
116,1,1,589,382,362,60,60,15,4.3,mean,0.9,standard_error,,5,
116,1,1,589,382,362,143,9,6,6.75,median,5,range,8.5,,
117,1,1,589,382,362,60,60,15,4.1,mean,2.2,standard_error,,5,
117,1,1,589,382,362,143,9,6,6.75,median,5,range,8.5,,
118,1,1,589,382,362,60,60,15,4.2,mean,1.8,standard_error,,5,
118,1,1,589,382,362,143,9,6,6.75,median,5,range,8.5,,
