id,author,year,title,resource_type,doi_isbn,journal,volume_pages,resource_notes,user_id,created_at,updated_at
261,"Sampayo EM, Ridgway T, Bongaerts P, Hoegh-Guldberg O ",2008,Bleaching susceptibility and mortality of corals are determined by fine-scale differences in symbiont type ,paper,http://www.pnas.org/content/105/30/10444.abstract,Proceedings of the National Academy of Sciences USA ,"105, 10444-10449","",9,,2013-10-10 00:33:07 UTC
262,"MacDonald AHH, Sampayo EM, Ridgway T, Schleyer MH",2008,Latitudinal symbiont zonation in Stylophora pistillata form southeast Africa  ,paper,http://www.springerlink.com/content/ux5136h03707467t/,Marine Biology ,"154, 209-217.","",9,,2013-10-05 08:00:09 UTC
263,"Brown BE, Dunne RP, Goodson MS, Douglas AE ",2000,Bleaching patterns in reef corals,paper,http://www.nature.com/nature/journal/v404/n6774/abs/404142b0.html,Nature,"404, 142 - 143.","",9,,2013-10-03 02:07:55 UTC
264,"Santos SR, Kinzie III RA, Sakai K, Coffroth MA ",2003,"Molecular characterization of nuclear small subunit (18S)-rDNA pseudogenes in a symbiotic dinoflagellate (Symbiodinium, Dinophyta) ",paper,http://www3.interscience.wiley.com/journal/118893313/abstract,Journal of Eukaryotic Microbiology ,"50, 417-421","",9,,2013-10-10 00:38:49 UTC
265,"Baillie BK, Belda-Baillie CA, Maruyama T ",2000,Conspecificity and Indo-Pacific distribution of Symbiodinium genotypes (Dinophyceae) from giant clams,paper,http://www3.interscience.wiley.com/journal/120697710/abstract,Journal of Phycology ,"36, 1153-1161","",9,,2013-10-02 15:22:10 UTC
266,Dove S,2004,Scleractinian corals with photoprotective host pigments are hypersensitive to thermal bleaching,paper,http://www.int-res.com/articles/meps2004/272/m272p099.pdf,Marine Ecology Progress Series,"272, 99-116","",9,,2013-10-03 07:07:26 UTC
267,"Hunter CL, Morden CW, Smith CM",1997, The utility of ITS sequences in assessing relationships among zooxanthellae and coral ,conference_proceedings,http://www.reefbase.org/resource_center/publication/icrs.aspx,Proceedings of the 8th International Coral Ref Symposium,"Vol 2, 1599-1602","",9,,2013-10-03 14:01:02 UTC
268,"Santos SR, Taylor DJ, Coffroth MA ",2001,Genetic comparisons of freshly isolated versus symbiotic dinoflagellates: implications for extrapolating to the intact symbiosis ,paper,http://www3.interscience.wiley.com/journal/118994416/abstract,Journal of Phycology ,"37, 900-912","",9,,2013-10-10 00:35:23 UTC
269,"Suresh VR, Mathew KJ",1995,"Growth of staghorn coral Acropora aspera (Dana) (Scleractinia: Acropridae) in relation to environmental factors at Kavaratti atoll (Lakshadweep Islands), India",paper,"",Indian Journal of Marine Sciences,"24, 175-176","",1,2013-08-21 23:55:20 UTC,2013-08-21 23:59:06 UTC
270,Stimson J,1985,The Effect of Shading by the Table Coral Acropora Hyacinthus on Understory Corals,paper,"",Ecology,"66, 40-53","",9,2013-08-22 02:04:15 UTC,2013-09-12 04:24:17 UTC
273,Babcock RC,1991,Comparative demography of three species of scleractinian corals using age-and size-dependent classifications,paper,"",Ecological Monographs,"61, 225-244","",1,2013-08-23 05:34:46 UTC,2013-08-23 05:57:49 UTC
274,Marsh LM,1992,"The Occurrence and Growth of Acropora in Extra-tropical Waters off Perth, Western Australia",conference_proceedings,"","Proceedings of the Seventh International Coral Reef Symposium, Guam, 1992","2, 1233-1238","",9,2013-08-26 11:52:01 UTC,2013-08-26 11:52:01 UTC
275,Highsmith RC,1979,￼￼￼￼￼￼￼￼Coral growth rates and environmental control of density banding,paper,http://dx.doi.org/10.1016/0022-0981(79)90089-3,Journal of Experimental Marine Biology and Ecology,"37, 105-125","",9,2013-08-27 00:56:24 UTC,2013-08-27 00:56:24 UTC
276,"Buddemeier RW, Maragos JE, Knutson DW",1974,Radiographic studies of reef coral exoskeletons: rates and patterns of coral growth,paper,"",Journal of Experimental Marine Biology and Ecology,"14, 179-200","",9,2013-08-27 01:17:35 UTC,2013-08-27 01:17:35 UTC
277,"Gomez ED, Alcala AC, Yap HT, Alcala LC, Aline PM",1985,Growth studies of commercially important scleractinians,conference_proceedings,"","Proceedings of the Fifth International Coral Reef Congress, Tahiti",199-204,"",9,2013-08-27 02:06:24 UTC,2013-08-27 02:06:24 UTC
278,Dustan P,1975,Growth and form in the reef-building coral Montastrea annularis,paper,"",Marine Biology,"33, 101-107","",9,2013-08-27 03:53:05 UTC,2013-08-27 04:03:46 UTC
279,"Graus RR, Mcintyre IG",1982,Variation in growth forms of the reef coral Montastrea annularis (Ellis and Solander): a quantitative evaluation of growth response to light distribution using computer simulation,paper,"",Smithsonian Contributions to Marine Sciences,"12, 441-464","",9,2013-08-27 04:11:54 UTC,2013-08-27 04:11:54 UTC
280,Willis BL,1985,Phenotypic plasticity versus phenotypic stability in the reef corals Turbinaria mesenterina and Pavona cactus,conference_proceedings,"","Proceedings of the Fifth International Coral Reef Congress, Tahiti",107-112,"",9,2013-08-27 04:50:17 UTC,2013-08-27 04:50:17 UTC
281,"Keith SA, Baird AH, Hughes, TP, Madin JS, Connolly SR",2013,"Faunal breaks and species composition of Indo-Pacific corals: the role of plate tectonics, environment and habitat distribution",paper,"",Proceedings of the Royal Society B,"280, 20130818","",1,2013-09-05 21:14:18 UTC,2013-09-05 21:14:18 UTC
282,"Diaz M, Madin JS",2011,Macroecological relationships between coral species' traits and disease potential,paper,"",Coral Reefs,"30, 73-84","",1,2013-09-05 21:16:11 UTC,2013-09-05 21:16:11 UTC
283,"Madin JS, Connolly SR",2006,Ecological consequences of major hydrodynamic disturbances on coral reefs,paper,"",Nature,"444, 477-480","",1,2013-09-09 20:49:35 UTC,2013-09-09 20:49:35 UTC
284,Kosnik MA,,Unpublished data,pers_obs,"","","","",1,2013-09-09 21:25:50 UTC,2013-09-09 21:25:50 UTC
285,"Franklin EC, Stat M, Pochon X, Putnam HM, Gates RD",2012,"GeoSymbio: a hybrid, cloud-based web application of global geospatial bioinformatics and ecoinformatics for Symbiodinium–host symbioses",paper,doi: 10.1111/j.1755-0998.2011.03081.x,Molecular Ecology Resources,"12, 369-373","",1,2013-09-09 23:45:05 UTC,2013-09-09 23:46:23 UTC
287,"Bridge TCL, Fabricius KE, Bongaerts P, Wallace CC, Muir PR, Done TJ, Webster JM",2012,"Diversity of Scleractinia and Octocorallia in the mesophotic zone of the Great Barrier Reef, Australia",paper,10.1007/s00338-011-0828-1,Coral Reefs,"31, 179-189","",1,2013-09-12 11:15:34 UTC,2013-09-12 11:15:34 UTC
288,Bouchon C,1981,Quantitative study of the scleractinian coral communities of a fringing reef of Reunion Island (Indian Ocean),paper,"",Marine Ecology Progress Series,"4, 273-288 ","",1,2013-09-12 11:19:12 UTC,2013-09-12 11:19:12 UTC
289,Kuhlmann DHH,1983,Composition and ecology of deep-water coral associations,paper,"",Helgoländer Meeresuntersuchungen,"36, 183-204","",1,2013-09-12 11:22:27 UTC,2013-09-12 11:22:27 UTC
290,"Bare AY, Grimshaw KL, Rooney JJ, Sabater MG, Fenner D, Carroll B",2010,"Mesophotic communities of the insular shelf at Tutuila, American Samoa",paper,10.1007/s00338-010-0600-y,Coral Reefs,"29, 369-377","",1,2013-09-12 11:25:31 UTC,2013-09-12 11:25:31 UTC
291,"Bongaerts P, Bridge TCL, Kline DI, Muir PR, Wallace CC, Beaman RJ, Hoegh-Guldberg O",2011,Mesophotic coral ecosystems on the walls of Coral Sea atolls,paper,10.1007/s00338-011-0725-7,Coral Reefs,"30, 335","",1,2013-09-12 11:32:46 UTC,2013-09-12 11:32:46 UTC
292,"Dinesen Z, Bongaerts P, Bridge T, Kahng S, Luck D",2012,The importance of the coral genus Leptoseris to mesophotic coral communities in the Indo-Pacific,conference_proceedings,"","12th International Coral Reef Symposium, Cairns, Australia",poster,"",1,2013-09-12 11:35:02 UTC,2013-09-12 11:35:02 UTC
293,"Maragos JE, Jokiel PL",1986,Coral reefs of Johnston Atoll: one of the world’s most isolated reefs,paper,"",Coral Reefs,"4, 141-150","",1,2013-09-12 11:36:20 UTC,2013-09-12 11:36:20 UTC
294,"Rooney J, Donham E, Montgomery A, Spalding H, Parrish E, Boland R, Fenner D, Gove J, Vetter O",2010,Mesophotic coral ecosystems in the Hawaiian archipelago,paper,"",Coral Reefs,29: 361-367,"",1,2013-09-12 11:37:45 UTC,2013-09-12 11:37:45 UTC
295,"Mass T, Einbinder S, Brokovich E, Shashar N, Vago R, Erez J, Dubinsky Z",2007,Photoacclimation of Stylophora pistillata to light extremes: metabolism and calcification,paper,"",Marine Ecology Progress Series,"334, 93-102","",1,2013-09-12 11:39:19 UTC,2013-09-12 11:39:19 UTC
296,"Bridge TCL, Hughes TP, Guinotte JM, Bongaerts P",2013,Call to protect all coral reefs,"",10.1038/nclimate1879,Nature Climate Change,"3, 528-530","",1,2013-09-12 22:41:03 UTC,2013-09-12 22:41:03 UTC
297,Australian Institute of Marine Science,2013,AIMS Coral Fact Sheets,webpage,"",http://coral.aims.gov.au,"","",1,2013-09-13 01:22:41 UTC,2013-09-13 01:22:41 UTC
298,Neudecker S,1981,Growth and survival of scleractinian corals exposed to thermal effluents at Guam,conference_proceedings,"",Proc 4th Int Coral reef Symp,"1,173-180","",9,2013-09-14 07:07:55 UTC,2013-09-14 07:07:55 UTC
299,"Custodio HM, Yap HT",1997,Skeletal extension rates of Porites cylindrica and Porites (Synaraea) rus after transplantation to two depths,paper,"",Coral Reefs,"16,267—268","",9,2013-09-14 07:31:30 UTC,2013-09-14 07:31:30 UTC
300,"Rosenfeld M, Yam R, Shemesh A, LoyaY",2003,Implication of water depth on stable isotope composition and skeletal density banding patterns in a Porites lutea colony: results from a long-term translocation experiment,paper,"",Coral Reefs,"22,337–345","",9,2013-09-15 13:04:31 UTC,2013-09-15 13:04:31 UTC
301,Chamberlain JA,1978,Mechanical Properties of Coral Skeleton: Compressive Strength and its Adaptive Significance,paper,"",Paleobiology,"4,419-435","",9,2013-09-16 03:14:52 UTC,2013-09-16 03:14:52 UTC
302,"Stearn CW, Scoffin TP, Martindale W",1977,Calcium carbonate budget of a fringing reef on the west coast of Barbados,paper,"",Bulletin of Marine Science,"27,479-510","",9,2013-09-16 05:04:03 UTC,2013-09-16 05:04:03 UTC
303,"Chan YL, Pochon X, Fisher MA, Wagner D, Concepcion GT, Kahng SE, Toonen RJ, Gates RD",2009,Generalist dinoflagellate endosymbionts and host genotype diversity from mesophotic (67-100 m depths) coral Leptoseris,paper,http://www.biomedcentral.com/1472-6785/9/21,BMC Ecology,"9, 21c","",9,2013-10-03 02:15:33 UTC,2013-10-03 02:25:51 UTC
304,"Gou W, Sun J, Li X, Zhen Y, Xin Z, Yu Z, Li R",2003,"Phylogenetic analysis of a free-living strain of Symbiodinium isolated from Jiaozhou Bay, P.R. China",paper,http://www.sciencedirect.com/science/article/pii/S0022098103002429,"Journal of Experimental Marine Biology and Ecology 296, 135-144.","296, 135-144","",9,2013-10-03 12:31:09 UTC,2013-10-03 12:32:40 UTC
305,"Goulet TL, LaJeunesse TC, Fabricius KE",2008,Symbiont specificity and bleaching susceptibility among soft corals in the 1998 Great Barrier Reef mass coral bleaching event,paper,http://link.springer.com/article/10.1007/s00227-008-0972-5,Marine Biology ,"154, 795-804","",9,2013-10-03 13:06:19 UTC,2013-10-03 13:08:14 UTC
306,"Hirose M, Reimer JD, Hidaka M, Suda S ",2008,"Phylogenetic analyses of potentially free-living Symbiodinium spp. isolated from coral reef sand in Okinawa, Japan",paper,http://link.springer.com/article/10.1007/s00227-008-1011-2,Marine Biology ,"155, 105-112","",9,2013-10-03 13:17:46 UTC,2013-10-03 13:32:53 UTC
307,"Hunter RL, LaJeunesse TC, Santos SR",2007,"Structure and evolution of the rDNA internal transcribed spacer (ITS) region 2 in the symbiotic dinoflagellates (Symbiodinium, Dinophyta) ",paper,http://onlinelibrary.wiley.com/doi/10.1111/j.1529-8817.2006.00309.x/abstract;jsessionid=D6BBAB4D5F874AC678BD05A4A9FED2E4.f03t02?deniedAccessCustomisedMessage=&userIsAuthenticated=false,Journal of Phycology ,"43, 120-128","",9,2013-10-03 14:04:17 UTC,2013-10-03 14:10:46 UTC
308,"Ishikura M, Hagiwara K, Takishita K, Haga M, Iwai K, Maruyama T ",2004,Isolation of new Symbiodinium strains from Tridacnid giant clam (Trdacna crocea) and sea slug (Pteraeolidia ianthina) using culture medium containing giant clam tissue homogenate ,paper,http://link.springer.com/article/10.1007/s10126-004-1800-7,Marine Biotechnology ,"6, 378-385","",9,2013-10-04 11:50:41 UTC,2013-10-04 11:51:37 UTC
309,"Kuguru B, Chadwick NE, Achituv Y, Zandbank K, Tchernov D ",2008,Mechanisms of habitat segregation between corallimorpharians: photosynthetic parameters and Symbiodinium types,paper,http://www.int-res.com/abstracts/meps/v369/p115-129/,Marine Ecology Progress Series,"369, 115-129.","",9,2013-10-04 11:56:25 UTC,2013-10-04 11:58:58 UTC
310,"LaJeunesse TC, Loh WKW, Trench RK ",2009,Do introduced endosymbiotic dinoflagellates take to new hosts? ,paper,http://link.springer.com/article/10.1007/s10530-008-9311-5,Biological Invasions ,"11, 995-1003","",9,2013-10-05 02:35:49 UTC,2013-10-05 02:37:10 UTC
311,"LaJeunesse TC, Smith R, Walther M, Pinzón J, Pettay DT, McGinley M, Aschaffenburg M, Medina-Rosas P, Cupul-Magaña AL, López Pérez A, Reyes-Bonilla H, Warner ME ",2010,Host–symbiont recombination versus natural selection in the response of coral–dinoflagellate symbioses to environmental disturbance,paper,"",Proceedings of the Royal Society of London B ,"277, 2925-2934","",9,2013-10-05 03:10:57 UTC,2013-10-05 04:36:52 UTC
312,"Lobban C, Schefter M, Simpson AGB, Pochon X, Pawlowski J, Foissner W ",2002,"Maristentor dinoferus n. gen., sp., a giant ciliate (Spirotrichea: Heterotrichia) with zooxanthellae, from coral reefs on Guam, Mariana Islands ",paper,http://link.springer.com/article/10.1007/s002270100690,Marine Biology ,"140, 411-423","",9,2013-10-05 06:24:16 UTC,2013-10-05 06:26:06 UTC
313,"Manning M, Gates RD  ",2008,Diversity in populations of free-living Symbiodinium from a Caribbean and Pacific reef ,paper,http://wap.aslo.org/lo/toc/vol_53/issue_5/1853.pdf,Limnology and Oceanography ,"53, 1853-1861","",9,2013-10-05 08:01:36 UTC,2013-10-05 08:03:28 UTC
314,Moore RB,2006, Molecular ecology and phylogeny of protistan algal symbionts from corals  ,thesis,"","PhD Thesis, University of Sydney. Australia.","","",9,2013-10-09 23:54:44 UTC,2013-10-09 23:54:44 UTC
315,"Pawlowski J, Holzmann M, Fahrni J, Pochon X, Lee J ",2001,Molecular identification of algal endosymbionts in large miliolid Foraminifera: 2 dinoflagellates ,paper,http://onlinelibrary.wiley.com/doi/10.1111/j.1550-7408.2001.tb00326.x/full,Journal of Eukaryotic Microbiology ,"48, 368-373","",9,2013-10-09 23:56:38 UTC,2013-10-09 23:57:38 UTC
316,"Pochon X, LaJeunesse T, Pawloski J ",2004,Biogeographic partitioning and host specialization among foraminiferan dinoflagellate symbionts (Symbiodinium; Dinophyta) ,paper,http://link.springer.com/article/10.1007/s00227-004-1427-2,Marine Biology,"146, 17-27","",9,2013-10-10 00:02:39 UTC,2013-10-10 00:04:06 UTC
317,"Pochon X, Montoya-Burgos J, Stadelmann B, Pawlowski ",2006,"Molecular phylogeny, evolutionary rates, and divergence timing of the symbiotic dinoflagellate genus Symbiodinium ",paper,http://www.sciencedirect.com/science/article/pii/S1055790305001715,Molecular Phylogenetics and Evolution ,"38, 20-30","",9,2013-10-10 00:05:22 UTC,2013-10-10 00:05:59 UTC
318,"Pochon X, Garcia-Cuetos L, Baker AC, Castella E, Pawloski J ",2007,One-year survey of a single Micronesian reef reveals extraordinarily rich diversity of Symbiodinium types in soritid foraminifera ,paper,http://link.springer.com/article/10.1007/s00338-007-0279-x,Coral Reefs ,"26, 867-882","",9,2013-10-10 00:07:32 UTC,2013-10-10 00:08:10 UTC
319,"Pochon X, Gates RD ",2010,A new Symbiodinium clade (Dinophyceae) from soritid foraminifera in Hawaii ,paper,http://www.sciencedirect.com/science/article/pii/S1055790310001533,Molecular Phylogenetics and Evolution ,"56, 492-497","",9,2013-10-10 00:11:25 UTC,2013-10-10 00:12:03 UTC
320,"Porto I, Granados C, Restrepo JC, Sanchez JA ",2008,Macroalgal-associated dinoflagellates belonging to the genus Symbiodinium in Caribbean reefs ,paper,doi:10.1371/journal.pone.0002160,PLoS ONE  ,3(5): e2160,"",9,2013-10-10 00:13:30 UTC,2013-10-10 00:13:44 UTC
321,"Reimer JD, Takishita K, Maruyama T ",2006,Molecular identification of symbiotic dinoflagellates (Symbiodinium spp. from Palythoa spp. (Anthozoa: Hexacorallia) in Japan ,paper,http://link.springer.com/article/10.1007/s00338-006-0151-4,Coral Reefs ,"25, 521-527","",9,2013-10-10 00:16:30 UTC,2013-10-10 00:19:19 UTC
322,"Reimer JD, Takishita K, Ono S, Maruyama T, Tsukahara J ",2006,Latitudinal and intracolony ITS-rDNA sequence variation in the symbiotic dinoflagellate genus Symbiodinium (Dinophyceae) in Zoanthus sansibaricus (Anthozoa: Hexacorallia) ,paper,http://onlinelibrary.wiley.com/doi/10.1111/j.1440-1835.2006.00419.x/full,Phycological Research ,"54, 122-132","",9,2013-10-10 00:20:44 UTC,2013-10-10 00:21:18 UTC
323,"Reimer J, Ono S, Tsukahara J, Takishita K, Maruyama T ",2007,"Non-seasonal and subclade microvariation in symbiotic dinoflagellates (Symbiodinium spp.) in Zoanthus sansibaricus (Anthozoa: Hexacorallia) at Kagoshima Bay, Japan ",paper,http://onlinelibrary.wiley.com/doi/10.1111/j.1440-1835.2006.00446.x/full,Phycological Research,"55, 58-65","",9,2013-10-10 00:22:34 UTC,2013-10-10 00:23:05 UTC
324,"Reimer JD, Ono S, Tsukahara J, Iwase F ",2008,Molecular characterization of the zoanthid genus Isaurus (Anthozoa: Hexacorallia) and associated zooxanthellae (Symbiodinium spp.) from Japan ,paper,http://link.springer.com/article/10.1007/s00227-007-0811-0,Marine Biology ,"153, 351-363","",9,2013-10-10 00:24:50 UTC,2013-10-10 00:25:19 UTC
325,"Reimer JD, Todd PA ",2009,Preliminary molecular examination of zooxanthellate zoanthids (Hexacorallia: Zoantharia) and associated zooxanthellae (Symbiodinium spp.) diversity in Singapore ,paper,http://rmbr.nus.edu.sg/rbz/biblio/s22/s22rbz103-120.pdf,The Raffles Bulletin of Zoology ,"S22, 103-120","",9,2013-10-10 00:26:53 UTC,2013-10-10 00:27:32 UTC
326,"Santos S, Taylor D, Kinzie III RA, Hidaka M, Sakai K, Coffroth MA ",2002, Molecular phylogeny of symbiotic dinoflagellates inferred from partial chloroplast large subunit (23S)-rDNA sequences ,paper,http://www.sciencedirect.com/science/article/pii/S1055790302000106,Molecular Phylogenetics and Evolution ,"23, 97-111","",9,2013-10-10 00:36:39 UTC,2013-10-10 00:37:32 UTC
327,"Stat M, Loh WKW, LaJeunesse TC, Hoegh-Guldberg O, Carter D ",2009,Stability of coral-endosymiont associations during and after a thermal stress event in the southern Great Barrier Reef ,paper,http://link.springer.com/article/10.1007/s00338-009-0509-5,Coral Reefs," 28, 709-713","",9,2013-10-10 00:49:33 UTC,2013-10-10 00:50:20 UTC
328,"Thornhill D, LaJeunesse T, Santos S ",2007,"Measuring rDNA diversity in eukaryotic microbial systems: how intragenomic variation, pseudogenes, and PCR artifacts confound biodiversity estimates ",paper,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-294X.2007.03576.x/full,Molecular Ecology ,"16, 5326-5340","",9,2013-10-10 00:57:16 UTC,2013-10-10 00:58:10 UTC
329,"Voolstra CR, Sunagawa S, Schwarz JA, Coffroth MA, Yellowlees D, Leggat W, Medina M ",2009,Evolutionary analysis of orthologous cDNA sequences from cultured and symbiotic dinoflagellate symbionts of reef-building corals (Dinophyceae: Symbiodinium),paper,http://www.sciencedirect.com/science/article/pii/S1744117X0800083X,Comparative Biochemistry and Physiology Part D ,"4, 67-74","",9,2013-10-10 01:06:26 UTC,2013-10-10 01:06:44 UTC
330,"Wagner D, Pochon X, Irwin L, ToonenRJ, Gates RD ",2011,Azooxanthellate? Most Hawaiian black corals contain Symbiodinium ,paper,http://rspb.royalsocietypublishing.org/content/278/1710/1323.short,Proceedings of the Royal Society of London B ,"278, 1323-1328","",9,2013-10-10 01:07:56 UTC,2013-10-10 01:08:32 UTC
331,"Crabbe MJC, Smith DJ ",2005,"Sediment impacts on growth rates of Acropora and Porites corals  from fringing reefs of Sulawesi, Indonesia",paper,DOI 10.1007/s00338-005-0004-6,Coral Reefs,"24, 437-441","",13,2013-12-03 08:11:11 UTC,2013-12-03 08:13:05 UTC
332,Lirman D,2000,"Fragmentation in the branching coral Acropora palmata  ( Lamarck): growth, survivorship, and reproduction of  colonies and fragments ",paper,"",Journal of Experimental Marine Biology and Ecology ,"251, 41-57","",13,2013-12-07 10:27:11 UTC,2013-12-07 10:28:30 UTC
333,Mehdi Adjeroud; Morgan S Pratchett;Marie C Kospartov;Christophe Lejeusne;Lucie Penin,2007,"Small-scale variability in the size structure of scleractinian corals around Moorea, French Polynesia: patterns across depths and locations",paper,"",Hydrobiologia,"","",14,,
334,C.C. Almy;C Carrion-Torres,1963,Shallow-water stony corals of Puerto Rico,paper,"",Caribbean Journal of Science,"","",14,,
335,E.M Alvarado;R.U Garcia;A Acosta,2004,"Sexual reproduction of the reef-building coral Diploria labyrinthiformis (Scleractinia: Faviidae),in the Colombian Caribbean",paper,"",Revista de Biologia Tropical,"","",14,,
336,K Alvarez;S Camero;M.E Alarcãn;A Rivas;G Gonzölez,2002,Physical and mechanical properties evaluation of Acropora palmata coralline species for bone substitution applications,paper,"",Journal of Materials Science: Materials in Medicine,"","",14,,
337,F.D Amaral;M.M Hudson;A.Q Steiner;C.A.C Ramos,2007,"Corals and calcified hydroids of the Manuel Luiz Marine State Park (State of MaranhaÍóo, Northeast Brazil)",paper,"",Biota Neotropica,"","",14,,
338,M.J Atkinson;B Carlson;G.L Crow,1995,"Coral growth in high-nutrient, low-pH seawater: a case study of corals cultured at the Waikiki Aquarium, Honolulu, Hawaii",paper,"",Coral Reefs,"","",14,,
339,R.C Babcock,1991,Comparative demography of three species of scleractinian corals using age- and size-dependent classifications,paper,"",Ecological Monographs,"","",14,,
340,A.H Baird;P.A Marshall,2002,"Mortality, growth and reproduction in scleractinian corals following bleaching on the Great Barrier Reef",paper,"",Marine Ecology Progress Series,"","",14,,
341,R.P.M Bak;E.H Meesters,1999,Coral growth rates revisited after 31 years: What is causing lower extension rates in Acropora palmata? ,paper,"",American Zoologist,"","",14,,
342,P.A Baker;J.N Weber,1975,Coral growth rate: variation with depth,paper,"",Physics of the Earth and Planetary Interiors,"","",14,,
343,A. G Bauman;A. H Baird;G. H Cavalcante,2011,"Coral reproduction in the world_Ñés warmest reefs: southern Persian Gulf (Dubai, United Arab Emirates)",paper,"",Coral Reefs,"","",14,,
344,L Bongiorni;S Shafir;D Angel;B Rinkevich,2003,"Survival, growth and gonad development of two hermatypic corals subjected to in situ fish-farm nutrient enrichment",paper,"",Marine Ecology Progress Series,"","",14,,
345,J.L Borger;S Colley,2010,The effects of a coral disease on the reproductive output of Montastraea faveolata (Scleractinia: Faviidae),paper,"",Revista de Biologia Tropical,"","",14,,
346,M E Brandt,2009,The effect of species and colony size on the bleaching response of reef-building corals in the Florida Keys during the 2005 mass bleaching event,paper,"",Coral Reefs,"","",14,,
347,"Brown DE, Sya'rani L, Le Tissier M",1985,"Skeletal form and growth in Acropora aspera (Dana) from the Pulau Seribu, Indonesia",paper,"",Journal of Experimental Marine Biology and Ecology,"","",1,,2014-01-23 02:53:19 UTC
348,D.J Bucher;V.J Harriott;L.G Roberts,1998,"Skeletal micro-density, porosity and bulk density of acroporid corals",paper,"",Journal of Experimental Marine Biology and Ecology,"","",14,,
349,S. N Burgess;M. T Mcculloch;G. E Mortimer;T. M Ward,2009,Structure and growth rates of the high-latitude coral: Plesiastrea versipora,paper,"",Coral Reefs,"","",14,,
350,N.E Cantin;A.L Cohen;K.B Karnauskas;A.M Tarrant;D.C McCorkle,2010,Ocean warming slows coral growth in the central Red Sea,paper,"",Science,"","",14,,
351,Jessica E Carilli;Richard D Norris;Bryan Black;Sheila M Walsh;Melanie Mcfield,2010,Century-scale records of coral growth rates indicate that local stressors reduce coral thermal tolerance threshold,paper,"",Global Change Biology,"","",14,,
352,J.P Carricart-Ganivet,2004,Sea surface temperature and the growth of the West Atlantic reef-building coral Montastraea annularis,paper,"",Journal of Experimental Marine Biology and Ecology,"","",14,,
353,Karl D Castillo;Justin B Ries;Jack M Weiss,2011,"Declining coral skeletal extension for forereef colonies of Siderastrea siderea on the Mesoamerican barrier reef system, southern Belize",paper,"",PLoS ONE,"","",14,,
354,N.E Chadwick-Furman;S Goffredo;Y Loya,2000,"Growth and population dynamic model of the reef coral Fungia granulosa (Klunzinger, 1879) at Eilat, northern Red Sea",paper,"",Journal of Experimental Marine Biology and Ecology,"","",14,,
355,M Charuchinda;J Hylleberg,1984,Skeletal extension of Acropora formosa at a fringing reef in the Andaman Sea,paper,"",Coral Reefs,"","",14,,
356,K.-S Chen;H.J Hsieh;S Keshavmurthy;J.K.L Leung;I.-T Lien;Y Nakano;S Plathong;H Huang;C.A Chen,2011,Latitudinal gradient of morphological variations in zebra coral Oulastrea crispata (Scleractinia: Faviidae) in the West Pacific,paper,"",Zoological Studies,"","",14,,
357,CoralHub,0,Coral Hub: Resources and training for coral identification. ,paper,"",www/coralhub.info,"","",14,,
358,E. F Cox,2007,The effects of a selective corallivore on growth rates and competition for space between two species of Hawaiian corals,paper,"",Coral Reefs,"","",14,,
359,E.F Cox,1986,Continuation of sexual reproduction in Montipora capitata following bleaching,paper,"",Journal of Experimental Marine Biology and Ecology,"","",14,,
360,E.F Cox;S Ward,2002,Impact of elevated ammonium on reproduction in two Hawaiian scleractinian corals with different life history patterns,paper,"",Marine Pollution Bulletin,"","",14,,
361,Crabbe MJC,2010,Scleractinian coral population size structures and growth rates indicate coral resilience on the fringing reefs of North Jamaica,paper,"",Marine Environmental Research,"","",14,,2014-02-24 19:53:02 UTC
362,M.J.C Crabbe,2009,Topography and spatial arrangement of reef-building corals on the fringing reefs of North Jamaica may influence their response to disturbance from bleaching,paper,"",Marine Environmental Research,"","",14,,
363,M. James C Crabbe;David J Smith,2005,"Sediment impacts on growth rates of Acropora and Porites corals from fringing reefs of Sulawesi, Indonesia",paper,"",Coral Reefs,"","",14,,
364,G Cruz-Pinon;J. P Carricart-Ganivet;J Espinoza-Avalos,2003,Monthly skeletal extension rates of the hermatypic corals Montastraea annularis and Montastraea faveolata: biological and environmental controls,paper,"",Marine Biology,"","",14,,
365,C.F. Dai;S. Horng,2009,Scleractinia Fauna of Taiwan II. The Robust Group,paper,"","","","",14,,
366,M.A Dar;T.A Mohammed,2009,Seasonal variations in the skeletogensis process in some branching corals of the Red Sea,paper,"",Thalassas,"","",14,,
367,Angela Dikou,2009,"Skeletal linear extension rates of the foliose scleractinian coral Merulina ampliata (Ellis & Solander, 1786) in a turbid environment",paper,"",Marine Ecology,"","",14,,
368,Angela Dikou;Colin Ackerman;Carly Banks;Alex Dempsey;Michael Fox;Meagan Gins;Patricia Hester;Adam Parnes;Stephanie Roach;Jessica Rohde;Cliff Spital;Mackai Tapleshay;Luke Thomas,2009,"Ecological assessment to detect imminent change in coral reefs of Admiral Cockburn Land and Sea National Park, Turks and Caicos Islands",paper,"",Marine Ecology,"","",14,,
369,Isabelle J Domart-Coulon;Nikki Traylor-Knowles;Esther Peters;David Elbert;Craig A Downs;Kathy Price;Joanne Stubbs;Shawn Mclaughlin;Evelyn Cox;Greta Aeby;P. Randy Brown;Gary K Ostrander,2006,Comprehensive characterization of skeletal tissue growth anomalies of the finger coral Porites compressa,paper,"",Coral Reefs,"","",14,,
